Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
76,1,2024-10-23,UTA,,MEM,"L, 124-126",*,31:04,3,18,.167,1,6,.167,2,12,.167,.194,5,9,.556,0,2,2,7,0,0,1,2,12,2.7,-11,Keyonte George
77,2,2024-10-25,UTA,,GSW,"L, 86-127",*,29:49,4,12,.333,3,8,.375,1,4,.250,.458,1,1,1.000,1,1,2,3,2,0,5,0,12,5.3,-37,Keyonte George
78,3,2024-10-28,UTA,@,DAL,"L, 102-110",*,36:08,6,18,.333,1,7,.143,5,11,.455,.361,4,4,1.000,1,4,5,5,1,0,3,1,17,9.8,-10,Keyonte George
79,4,2024-10-29,UTA,,SAC,"L, 96-113",*,30:27,3,13,.231,2,10,.200,1,3,.333,.308,2,2,1.000,1,3,4,11,0,0,4,1,10,7.0,-6,Keyonte George
80,5,2024-10-31,UTA,,SAS,"L, 88-106",*,30:21,5,14,.357,1,9,.111,4,5,.800,.393,4,5,.800,1,3,4,5,0,0,7,1,15,4.5,-10,Keyonte George
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Keyonte George
81,6,2024-11-02,UTA,@,DEN,"L, 103-129",*,32:10,6,14,.429,4,11,.364,2,3,.667,.571,0,0,,0,2,2,8,0,0,2,1,16,12.4,-27,Keyonte George
82,7,2024-11-04,UTA,@,CHI,"W, 135-126",*,38:35,8,18,.444,6,12,.500,2,6,.333,.611,11,13,.846,0,1,1,9,1,1,2,1,33,28.7,-1,Keyonte George
83,8,2024-11-07,UTA,@,MIL,"L, 100-123",*,25:21,3,11,.273,3,7,.429,0,4,.000,.409,1,2,.500,0,3,3,3,0,0,2,3,10,2.9,-20,Keyonte George
,9,2024-11-09,UTA,@,SAS,"W, 111-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
84,10,2024-11-12,UTA,,PHO,"L, 112-120",*,33:03,4,12,.333,1,5,.200,3,7,.429,.375,0,1,.000,0,5,5,4,0,0,1,3,9,3.9,0,Keyonte George
85,11,2024-11-14,UTA,,DAL,"W, 115-113",*,31:02,5,10,.500,4,7,.571,1,3,.333,.700,0,0,,0,0,0,6,2,0,3,2,14,11.4,-9,Keyonte George
86,12,2024-11-16,UTA,@,SAC,"L, 117-121",*,30:55,6,10,.600,2,4,.500,4,6,.667,.700,5,5,1.000,1,1,2,2,1,0,1,2,19,16.0,-5,Keyonte George
87,13,2024-11-17,UTA,@,LAC,"L, 105-116",*,33:43,4,12,.333,1,8,.125,3,4,.750,.375,0,0,,2,3,5,3,0,0,4,2,9,1.8,-11,Keyonte George
88,14,2024-11-19,UTA,@,LAL,"L, 118-124",*,28:39,7,13,.538,4,7,.571,3,6,.500,.692,0,0,,0,1,1,6,0,0,1,4,18,13.6,-6,Keyonte George
89,15,2024-11-21,UTA,@,SAS,"L, 118-126",*,33:21,6,18,.333,3,12,.250,3,6,.500,.417,4,4,1.000,0,2,2,5,1,0,3,3,19,9.7,0,Keyonte George
90,16,2024-11-23,UTA,,NYK,"W, 121-106",*,26:55,4,11,.364,2,5,.400,2,6,.333,.455,1,2,.500,1,3,4,9,1,0,5,2,11,7.6,9,Keyonte George
91,17,2024-11-26,UTA,,SAS,"L, 115-128",*,34:03,9,16,.563,6,12,.500,3,4,.750,.750,2,2,1.000,0,3,3,7,2,0,6,2,26,19.4,1,Keyonte George
92,18,2024-11-27,UTA,,DEN,"L, 103-122",*,34:48,9,23,.391,5,12,.417,4,11,.364,.500,0,1,.000,0,2,2,4,1,0,2,0,23,12.5,-19,Keyonte George
93,19,2024-11-30,UTA,,DAL,"L, 94-106",*,32:38,1,8,.125,0,2,.000,1,6,.167,.125,3,4,.750,1,5,6,8,1,0,5,4,5,1.6,-14,Keyonte George
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Keyonte George
94,20,2024-12-01,UTA,,LAL,"L, 104-105",*,31:50,5,10,.500,1,5,.200,4,5,.800,.550,3,3,1.000,0,4,4,4,0,0,6,2,14,6.2,2,Keyonte George
95,21,2024-12-03,UTA,@,OKC,"L, 106-133",*,31:16,7,14,.500,2,9,.222,5,5,1.000,.571,0,0,,1,3,4,5,0,0,4,1,16,9.7,-2,Keyonte George
96,22,2024-12-06,UTA,@,POR,"W, 141-99",*,23:55,6,13,.462,2,6,.333,4,7,.571,.538,3,3,1.000,0,5,5,4,0,1,1,2,17,13.5,24,Keyonte George
97,23,2024-12-08,UTA,@,SAC,"L, 97-141",*,34:06,8,14,.571,3,6,.500,5,8,.625,.679,6,6,1.000,2,3,5,6,4,0,4,1,25,24.5,-20,Keyonte George
98,24,2024-12-13,UTA,,PHO,"L, 126-134",*,31:07,6,13,.462,3,7,.429,3,6,.500,.577,3,3,1.000,0,6,6,9,1,2,3,1,18,18.4,-8,Keyonte George
99,25,2024-12-16,UTA,@,LAC,"L, 107-144",*,33:19,2,11,.182,1,5,.200,1,6,.167,.227,4,7,.571,0,3,3,7,0,0,3,3,9,2.5,-26,Keyonte George
100,26,2024-12-19,UTA,@,DET,"W, 126-119",*,32:40,8,17,.471,7,13,.538,1,4,.250,.676,5,6,.833,0,4,4,3,0,1,5,1,28,17.5,12,Keyonte George
,27,2024-12-21,UTA,@,BRK,"W, 105-94",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
,28,2024-12-23,UTA,@,CLE,"L, 113-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
,29,2024-12-26,UTA,@,POR,"L, 120-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
,30,2024-12-28,UTA,,PHI,"L, 111-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
101,31,2024-12-30,UTA,,DEN,"L, 121-132",*,28:16,3,9,.333,1,4,.250,2,5,.400,.389,0,1,.000,0,3,3,6,1,0,3,0,7,4.6,-8,Keyonte George
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Keyonte George
102,32,2025-01-01,UTA,@,NYK,"L, 103-119",*,35:52,6,13,.462,3,7,.429,3,6,.500,.577,0,0,,0,1,1,5,1,0,2,1,15,10.7,-6,Keyonte George
103,33,2025-01-04,UTA,@,MIA,"W, 136-100",*,26:13,4,10,.400,3,8,.375,1,2,.500,.550,0,0,,0,6,6,5,1,0,5,4,11,5.3,20,Keyonte George
,34,2025-01-05,UTA,@,ORL,"W, 105-92",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
,35,2025-01-07,UTA,,ATL,"L, 121-124",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
,36,2025-01-09,UTA,,MIA,"L, 92-97",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
,37,2025-01-11,UTA,@,PHO,"L, 106-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
,38,2025-01-12,UTA,,BRK,"W, 112-111 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
104,39,2025-01-15,UTA,,CHO,"L, 112-117",*,30:36,9,22,.409,5,13,.385,4,9,.444,.523,3,5,.600,1,3,4,6,2,0,1,3,26,19.0,-1,Keyonte George
105,40,2025-01-17,UTA,@,NOP,"L, 123-136",*,27:28,9,20,.450,4,9,.444,5,11,.455,.550,4,5,.800,2,2,4,3,1,1,0,1,26,20.6,-18,Keyonte George
106,41,2025-01-20,UTA,@,NOP,"L, 119-123 (OT)",*,38:15,6,20,.300,2,11,.182,4,9,.444,.350,9,10,.900,1,3,4,7,1,0,0,1,23,18.1,-3,Keyonte George
107,42,2025-01-22,UTA,@,OKC,"L, 114-123",*,32:22,3,11,.273,2,5,.400,1,6,.167,.364,7,8,.875,0,5,5,10,1,0,2,1,15,15.2,3,Keyonte George
108,43,2025-01-25,UTA,@,MEM,"L, 103-125",,32:56,3,15,.200,0,8,.000,3,7,.429,.200,2,2,1.000,0,3,3,7,0,0,1,2,8,2.7,-9,Keyonte George
109,44,2025-01-27,UTA,,MIL,"L, 110-125",,31:07,5,13,.385,3,8,.375,2,5,.400,.500,2,2,1.000,0,4,4,5,1,0,1,3,15,11.4,-11,Keyonte George
110,45,2025-01-28,UTA,@,GSW,"L, 103-114",,32:05,2,8,.250,0,4,.000,2,4,.500,.250,8,11,.727,0,6,6,6,0,0,4,4,12,6.4,-6,Keyonte George
111,46,2025-01-30,UTA,,MIN,"L, 113-138",,26:55,7,7,1.000,2,2,1.000,5,5,1.000,1.143,7,8,.875,0,1,1,3,0,1,1,2,23,21.8,-22,Keyonte George
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Keyonte George
112,47,2025-02-01,UTA,,ORL,"W, 113-99",,24:04,4,11,.364,0,3,.000,4,8,.500,.364,4,4,1.000,0,4,4,4,0,0,1,0,12,8.9,4,Keyonte George
113,48,2025-02-03,UTA,,IND,"L, 111-112",,30:59,5,15,.333,4,11,.364,1,4,.250,.467,2,4,.500,1,7,8,11,1,0,6,1,16,11.8,2,Keyonte George
114,49,2025-02-05,UTA,,GSW,"W, 131-128",,30:30,8,13,.615,4,8,.500,4,5,.800,.769,6,8,.750,0,3,3,6,2,0,1,4,26,23.8,0,Keyonte George
115,50,2025-02-07,UTA,@,PHO,"L, 127-135 (OT)",,35:29,6,16,.375,2,9,.222,4,7,.571,.438,4,4,1.000,0,3,3,4,0,1,1,4,18,11.0,-12,Keyonte George
116,51,2025-02-08,UTA,@,LAC,"L, 110-130",,33:07,7,14,.500,2,7,.286,5,7,.714,.571,5,5,1.000,0,4,4,4,0,0,4,0,21,14.0,-39,Keyonte George
117,52,2025-02-10,UTA,@,LAL,"L, 113-132",,32:18,2,9,.222,1,6,.167,1,3,.333,.278,6,6,1.000,0,2,2,8,0,0,5,0,11,6.7,1,Keyonte George
118,53,2025-02-12,UTA,,LAL,"W, 131-119",,33:15,7,12,.583,3,7,.429,4,5,.800,.708,3,4,.750,1,6,7,10,1,0,2,3,20,21.3,14,Keyonte George
119,54,2025-02-13,UTA,,LAC,"L, 116-120 (OT)",,36:59,3,12,.250,2,7,.286,1,5,.200,.333,5,6,.833,1,3,4,9,0,0,4,2,13,8.5,-4,Keyonte George
120,55,2025-02-21,UTA,,OKC,"L, 107-130",,30:35,7,12,.583,5,8,.625,2,4,.500,.792,1,3,.333,0,3,3,6,1,0,2,2,20,16.9,-14,Keyonte George
121,56,2025-02-22,UTA,,HOU,"W, 124-115",,29:07,10,17,.588,5,8,.625,5,9,.556,.735,5,10,.500,0,8,8,6,0,0,1,0,30,25.7,7,Keyonte George
122,57,2025-02-24,UTA,,POR,"L, 112-114",,33:36,6,22,.273,4,14,.286,2,8,.250,.364,5,5,1.000,0,5,5,5,2,0,4,0,21,11.0,0,Keyonte George
123,58,2025-02-26,UTA,,SAC,"L, 101-118",,32:46,4,12,.333,3,8,.375,1,4,.250,.458,0,0,,0,3,3,5,0,1,3,0,11,6.3,-13,Keyonte George
124,59,2025-02-28,UTA,,MIN,"W, 117-116",,24:40,2,8,.250,0,3,.000,2,5,.400,.250,1,1,1.000,1,3,4,9,0,0,0,0,5,8.1,-23,Keyonte George
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Keyonte George
125,60,2025-03-02,UTA,,NOP,"L, 121-128",,31:07,9,21,.429,5,11,.455,4,10,.400,.548,5,6,.833,0,3,3,6,0,0,3,1,28,18.2,-2,Keyonte George
126,61,2025-03-03,UTA,,DET,"L, 106-134",,28:30,4,10,.400,3,6,.500,1,4,.250,.550,1,1,1.000,0,3,3,3,0,0,2,2,12,6.8,-22,Keyonte George
,62,2025-03-05,UTA,@,WAS,"L, 122-125",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
127,63,2025-03-07,UTA,@,TOR,"L, 109-118",,31:28,4,14,.286,1,8,.125,3,6,.500,.321,9,13,.692,0,6,6,8,1,0,2,1,18,14.2,-6,Keyonte George
128,64,2025-03-09,UTA,@,PHI,"L, 122-126",,33:27,7,20,.350,3,10,.300,4,10,.400,.425,8,10,.800,1,5,6,3,3,0,4,2,25,15.5,-14,Keyonte George
,65,2025-03-10,UTA,@,BOS,"L, 108-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George
